benchmark_name,benchmark_category,dataset,score,ci,time_taken,noise_dataset,reference_dataset
Hubert,1,librilatest Test,98.03270510694381,1.0,215.42357754707336,speech_noise_uniform_distribution.tar.gz,librilatest Reference
Hubert,1,e2,97.31728797471735,1.0,211.36932516098022,speech_noise_uniform_distribution.tar.gz,librilatest Reference
Hubert,1,pheme,97.30971336505054,1.0,207.94335055351257,speech_noise_uniform_distribution.tar.gz,librilatest Reference
Hubert,1,f5,97.22625676993133,1.0,218.00880122184753,speech_noise_uniform_distribution.tar.gz,librilatest Reference
Hubert,1,tortoise,97.0964539324148,1.0,218.21758604049683,speech_noise_uniform_distribution.tar.gz,librilatest Reference
Hubert,1,xtts,96.98087695373364,1.0,311.25447821617126,speech_noise_uniform_distribution.tar.gz,librilatest Reference
Hubert,1,whisperspeech,96.94917084307104,1.0,271.34690976142883,speech_noise_uniform_distribution.tar.gz,librilatest Reference
Hubert,1,speecht5,96.29308953974287,1.0,233.73155450820923,speech_noise_uniform_distribution.tar.gz,librilatest Reference
Hubert,1,hierspeechpp,96.23590139354931,1.0,193.39959192276,speech_noise_uniform_distribution.tar.gz,librilatest Reference
Hubert,1,fish,96.22764200632766,1.0,218.00452494621277,speech_noise_uniform_distribution.tar.gz,librilatest Reference
Hubert,1,gpt-sovits,96.12261482894277,1.0,217.99053764343262,speech_noise_uniform_distribution.tar.gz,librilatest Reference
Hubert,1,styletts2,96.11715152963653,1.0,239.35913515090942,speech_noise_uniform_distribution.tar.gz,librilatest Reference
Hubert,1,metavoice,95.68686501142892,1.0,215.4164366722107,speech_noise_uniform_distribution.tar.gz,librilatest Reference
Hubert,1,openvoice,94.78497008704767,1.0,215.35718441009521,speech_noise_uniform_distribution.tar.gz,librilatest Reference
Hubert,1,parlertts,94.75003916051622,1.0,212.25538778305054,speech_noise_uniform_distribution.tar.gz,librilatest Reference
Hubert,1,amphion_ns2,93.561026089302,1.0,219.74102568626404,speech_noise_uniform_distribution.tar.gz,librilatest Reference
Hubert,1,amphion_valle,93.5375962665831,1.0,212.00635695457458,speech_noise_uniform_distribution.tar.gz,librilatest Reference
